Class Complexity,Number of Graphs,Min EigenSecondLargestLap
0,0.128296978,0.474420996
0,0.128296978,0.474420996
0,0.128296978,0.474420996
0,0.128296978,0.474420996
0,0.128296978,0.474420996
0,0.128296978,0.474006835
0,0.128296978,0.474006835
0,0.128296978,0.473940206
0,0.128296978,0.473940206
0,0.128296978,0.473940206
0,0.128296978,0.473940206
0,0.128296978,0.473940206
0,0.128296978,0.473539634
0,0.128296978,0.473539634
0,0.128296978,0.473539634
0,0.128296978,0.473539634
0,0.128296978,0.473539634
0,0.128296978,0.473539634
0,0.128296978,0.473539634
0,0.128296978,0.473539634
0,0.128296978,0.473316814
0,0.128296978,0.473009923
0,0.128296978,0.473009923
0,0.128296978,0.473009923
0,0.128296978,0.473009923
0,0.203345899,0.521574431
0,0.128296978,0.472406019
0,0.128296978,0.472406019
0,0.128296978,0.472406019
0,0.128296978,0.472406019
0,0.128296978,0.472406019
0,0.128296978,0.472406019
0,0.128296978,0.472406019
0,0.128296978,0.472406019
0,0.128296978,0.472406019
0,0.128296978,0.471713369
0,0.128296978,0.471713369
0,0.128296978,0.471713369
0,0.128296978,0.471713369
0,0.128296978,0.471713369
0,0.128296978,0.471713369
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.470913668
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.469983625
0,0.128296978,0.468893241
0,0.128296978,0.468893241
0,0.128296978,0.468893241
0,0.128296978,0.467603344
0,0.128296978,0.467603344
0,0.128296978,0.467603344
0,0.128296978,0.467603344
0,0.128296978,0.467603344
0,0.128296978,0.467603344
0,0.128296978,0.467603344
0,0.128296978,0.467603344
0,0.203345899,0.515764192
0,0.203345899,0.51496084
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.466061993
0,0.128296978,0.464330719
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.464199132
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.461918406
0,0.128296978,0.459084325
0,0.128296978,0.459084325
0,0.128296978,0.459084325
0,0.128296978,0.459084325
0,0.128296978,0.459084325
0,0.128296978,0.459084325
0,0.128296978,0.459084325
0,0.128296978,0.459084325
0,0.128296978,0.455501417
0,0.128296978,0.455501417
0,0.128296978,0.455501417
0,0.128296978,0.455501417
0,0.128296978,0.455501417
0,0.128296978,0.455501417
0,0.128296978,0.455501417
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.45087912
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.128296978,0.444769946
0,0.256593956,0.525896883
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.128296978,0.436454676
0,0.256593956,0.519476037
0.25,0.256593956,0.45087912
0.25,0.256593956,0.45087912
0,0.203345899,0.478445581
0,0.203345899,0.478060361
0,0.203345899,0.478060361
0,0.203345899,0.47800042
0,0.203345899,0.477795974
0,0.203345899,0.476986564
0,0.203345899,0.476692699
0,0.203345899,0.476525907
0,0.203345899,0.476525907
0,0.203345899,0.476343692
0,0.203345899,0.476144092
0,0.203345899,0.476144092
0,0.203345899,0.476144092
0,0.203345899,0.476144092
0,0.203345899,0.476144092
0,0.203345899,0.476144092
0,0.203345899,0.476144092
0,0.203345899,0.476144092
0,0.203345899,0.475683208
0,0.203345899,0.474789857
0,0.203345899,0.474789857
0,0.203345899,0.474420996
0.25,0.256593956,0.444769946
0.25,0.256593956,0.444769946
0,0.203345899,0.474006835
0,0.203345899,0.474006835
0,0.203345899,0.473539634
0,0.203345899,0.473539634
0,0.203345899,0.473539634
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.128296978,0.424714929
0,0.203345899,0.473009923
0,0.203345899,0.472406019
0,0.203345899,0.471713369
0,0.203345899,0.471713369
0,0.203345899,0.471713369
0,0.203345899,0.470913668
0,0.203345899,0.470913668
0,0.203345899,0.470913668
0,0.203345899,0.470913668
0,0.203345899,0.470913668
0,0.203345899,0.469983625
0,0.203345899,0.469983625
0,0.203345899,0.469983625
0,0.203345899,0.469983625
0,0.203345899,0.469520983
0.2,0.297896357,0.479454578
0,0.203345899,0.468893241
0,0.203345899,0.468893241
0,0.203345899,0.468893241
0,0.203345899,0.468893241
0,0.203345899,0.468893241
0,0.203345899,0.467603344
0,0.203345899,0.467603344
0,0.203345899,0.467603344
0,0.203345899,0.467603344
0,0.203345899,0.467603344
0.2,0.297896357,0.477450384
0.2,0.297896357,0.476809356
0,0.203345899,0.46651441
0.2,0.297896357,0.476692699
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0,0.203345899,0.466061993
0.2,0.297896357,0.476144092
0.25,0.256593956,0.436454676
0.25,0.256593956,0.436454676
0.25,0.256593956,0.436454676
0.25,0.256593956,0.436454676
0.25,0.256593956,0.436454676
0.25,0.256593956,0.436454676
0.25,0.256593956,0.436454676
0.25,0.256593956,0.436454676
0.333333333,0.203345899,0.379981361
0.333333333,0.203345899,0.379981361
0.333333333,0.203345899,0.379981361
0.333333333,0.203345899,0.379981361
0.333333333,0.203345899,0.379981361
0,0.203345899,0.464199132
0,0.203345899,0.464199132
0,0.203345899,0.464199132
0,0.203345899,0.464199132
0,0.203345899,0.464199132
0,0.203345899,0.464199132
0,0.203345899,0.464199132
0.2,0.297896357,0.473589048
0.2,0.297896357,0.473539634
0.2,0.297896357,0.472406019
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0,0.203345899,0.461918406
0.2,0.297896357,0.471713369
0.2,0.297896357,0.470913668
0,0.203345899,0.459084325
0,0.203345899,0.459084325
0,0.203345899,0.459084325
0.2,0.297896357,0.468893241
0,0.297896357,0.519748023
0.2,0.297896357,0.467982052
0.2,0.297896357,0.467603344
0.2,0.297896357,0.466290581
